factor,horizon_seconds,spread_bucket,count,bottom_quantile_mean_return,top_quantile_mean_return,top_minus_bottom_mean_return
depth_imbalance_1,60,1,112028,-0.003676029628307526,0.000595693352394566,0.004271722980702092
depth_imbalance_1,60,2,106220,0.0003188603079233976,0.001068241903502974,0.0007493815955795765
depth_imbalance_1,60,3,106612,0.008351929549541243,0.006804639489609232,-0.0015472900599320114
depth_imbalance_1,300,1,112237,-0.0017135833778252325,0.005351230275474722,0.007064813653299955
depth_imbalance_1,300,2,106350,0.0006898407029744875,0.0032150084713855427,0.0025251677684110553
depth_imbalance_1,300,3,106210,0.01925060008471784,0.01983207895484237,0.0005814788701245313
depth_imbalance_1,900,1,112087,0.002168999955414874,0.014469994190982613,0.01230099423556774
depth_imbalance_1,900,2,106010,0.009403803657905878,0.010228989612842304,0.0008251859549364259
depth_imbalance_1,900,3,107191,0.0403578179670105,0.07288324599981286,0.03252542803280236
depth_imbalance_3,60,1,112028,-0.0006889974568330879,-0.0010499642952780516,-0.00036096683844496374
depth_imbalance_3,60,2,106220,0.0006478893124382352,0.003841616084977237,0.0031937267725390016
depth_imbalance_3,60,3,106612,0.005520072222482764,0.0049368023637557405,-0.0005832698587270235
depth_imbalance_3,300,1,112237,0.0005042087916982205,0.011193294720427705,0.010689085928729485
depth_imbalance_3,300,2,106350,-0.0017225483749765125,0.014288215504169826,0.016010763879146336
depth_imbalance_3,300,3,106210,0.013091578798719637,0.014204524056115235,0.0011129452573955985
depth_imbalance_3,900,1,112087,0.009533737680060654,0.021898755353319047,0.012365017673258392
depth_imbalance_3,900,2,106010,0.004294203650426833,0.029708143507972663,0.02541393985754583
depth_imbalance_3,900,3,107191,0.020001585894864494,0.06674278117273871,0.04674119527787422
depth_imbalance_5,60,1,112028,-0.0013764267879436427,-0.0014736008212086025,-9.71740332649598e-05
depth_imbalance_5,60,2,106220,-0.0002536951609866326,0.0032854385386752024,0.0035391336996618353
depth_imbalance_5,60,3,106612,0.008718730947802842,0.004973828032979972,-0.0037449029148228707
depth_imbalance_5,300,1,112237,0.0015812049479398426,0.01456436658643131,0.012983161638491468
depth_imbalance_5,300,2,106350,-0.0019674439377556307,0.01401390064916737,0.015981344586923
depth_imbalance_5,300,3,106210,0.01797630030595434,0.012657847660295634,-0.005318452645658705
depth_imbalance_5,900,1,112087,0.006013042315066653,0.03781445626900375,0.0318014139539371
depth_imbalance_5,900,2,106010,-0.002460665943498558,0.0266498653691719,0.029110531312670457
depth_imbalance_5,900,3,107191,0.014091301537467104,0.061320832167179776,0.04722953062971267
microprice_minus_mid,60,1,112028,-0.00042600926833615476,0.0008160655298634036,0.0012420747981995584
microprice_minus_mid,60,2,106220,0.0005720807643432037,0.002084356416650679,0.0015122756523074754
microprice_minus_mid,60,3,106612,0.012539920300046881,0.01689597363519129,0.004356053335144409
microprice_minus_mid,300,1,112237,0.004102635907009831,0.006037125401355687,0.001934489494345856
microprice_minus_mid,300,2,106350,-1.7153867844700792e-06,0.006749820737128925,0.006751536123913395
microprice_minus_mid,300,3,106210,0.03166393327067669,0.04655385235026535,0.014889919079588664
microprice_minus_mid,900,1,112087,0.013989578273349535,0.015763857895206637,0.0017742796218571024
microprice_minus_mid,900,2,106010,0.006770337184626273,0.01686348384622759,0.010093146661601316
microprice_minus_mid,900,3,107191,0.05165916825959252,0.10964985287936109,0.05799068461976857
ofi_30s,60,1,112028,0.0007488166249759473,-0.0011610938134560724,-0.0019099104384320198
ofi_30s,60,2,106220,0.0032933436170710043,0.006764006591337098,0.0034706629742660934
ofi_30s,60,3,106612,0.011769601901920565,0.0369998827557098,0.025230280853789235
ofi_30s,300,1,112237,0.00498878310141464,0.022282374180894217,0.017293591079479576
ofi_30s,300,2,106350,0.005725580529573271,0.02278210739328909,0.01705652686371582
ofi_30s,300,3,106210,0.03435714285714286,0.09877282787850246,0.06441568502135961
ofi_30s,900,1,112087,0.0166070500135801,0.043885406442402075,0.027278356428821975
ofi_30s,900,2,106010,0.03524238351254481,0.03245366394564244,-0.0027887195669023673
ofi_30s,900,3,107191,0.14216099172016003,0.1335203434117208,-0.00864064830843922
trade_pressure_30s,60,1,112028,-0.001122627897025604,0.009890482794487294,0.011013110691512899
trade_pressure_30s,60,2,106220,0.0008331246960965872,0.01608163372032214,0.015248509024225552
trade_pressure_30s,60,3,106612,0.006074548253788187,0.030595154511742887,0.0245206062579547
trade_pressure_30s,300,1,112237,0.0024553684168663447,0.03492524446731857,0.03246987605045222
trade_pressure_30s,300,2,106350,0.0026546726740443913,0.041717328411811645,0.03906265573776725
trade_pressure_30s,300,3,106210,0.02001535630135862,0.07255231306511027,0.052536956763751655
trade_pressure_30s,900,1,112087,0.00984344806312626,0.061989905090595335,0.052146457027469076
trade_pressure_30s,900,2,106010,0.012366568198129793,0.0577651200486273,0.04539855185049751
trade_pressure_30s,900,3,107191,0.05486101492744728,0.1516387476007678,0.09677773267332052
