horizon_seconds,taker_fee,long_count,long_positive_rate,long_mean_edge,short_count,short_positive_rate,short_mean_edge
60,0.0,334196,0.05935139858047373,-0.02471156447114867,334175,0.02351462557043465,-0.033519712725368446
60,0.001,334196,0.05935139858047373,-0.02571156447114867,334175,0.02351462557043465,-0.03451971272536845
60,0.002,334196,0.05900130462363404,-0.02671156447114867,334175,0.023493678461883744,-0.03551971272536845
60,0.005,334196,0.05698153179571269,-0.029711564471148668,334175,0.023029849629685045,-0.038519712725368443
60,0.05,334196,0.021104381859746973,-0.07471156447114867,334175,0.0059609486047729485,-0.08351971272536846
300,0.0,334196,0.13681193072328812,-0.012158589570192347,334148,0.07656487544441386,-0.04353124663322839
300,0.001,334196,0.13681193072328812,-0.013158589570192345,334148,0.07656487544441386,-0.0445312466332284
300,0.002,334196,0.13664436438497168,-0.014158589570192344,334148,0.07626261417096616,-0.04553124663322839
300,0.005,334196,0.13595913775149912,-0.017158589570192343,334148,0.07625662879921472,-0.04853124663322839
300,0.05,334196,0.06865731486911872,-0.062158589570192345,334148,0.01569364473227432,-0.09353124663322838
900,0.0,334196,0.22283031514440627,0.01136442387102179,334052,0.11338653862272939,-0.06572040580508424
900,0.001,334196,0.22283031514440627,0.010364423871021796,334052,0.11338653862272939,-0.06672040580508423
900,0.002,334196,0.22037367293444565,0.00936442387102179,334052,0.11250044903188725,-0.06772040580508423
900,0.005,334196,0.21564590838908904,0.006364423871021796,334052,0.11242561038401207,-0.07072040580508425
900,0.05,334196,0.11378951274102622,-0.0386355761289782,334052,0.042634080921533174,-0.11572040580508425
