queue_model,queue_ahead_fraction,fill_window_seconds,markout_seconds,quote_side,token_metric_count,total_probes,total_fills,median_fill_rate,median_mean_markout,positive_markout_token_share,median_hit_rate,median_avg_win,median_avg_loss_abs,median_win_loss_ratio,adverse_selection_token_share
full_queue,1.0,60,300,sell_ask,22,11327,64,0.00260888783543985,-0.006,0.09090909090909091,0.375,0.0083333333333333,0.015,0.925925925925925,0.18181818181818182
full_queue,1.0,60,300,strategy_tail_combined,44,22648,80,0.0015749437608664498,-0.006,0.045454545454545456,0.375,0.0083333333333333,0.015,0.925925925925925,0.09090909090909091
full_queue,1.0,60,900,buy_bid,22,11321,16,0.0,,0.0,,,,,0.0
full_queue,1.0,60,900,sell_ask,22,11327,64,0.00260888783543985,-0.0039999999999999,0.13636363636363635,0.3333333333333333,0.0148749999999999,0.0348571428571428,0.5333333333333338,0.18181818181818182
full_queue,1.0,60,900,strategy_tail_combined,44,22648,80,0.0015749437608664498,-0.0039999999999999,0.06818181818181818,0.3333333333333333,0.0148749999999999,0.0348571428571428,0.5333333333333338,0.09090909090909091
full_queue,1.0,300,60,buy_bid,22,11321,67,0.0016406163991825999,-0.00522222222222215,0.045454545454545456,0.26666666666666666,0.0041666666666666,0.0147916666666666,0.2777777777777775,0.13636363636363635
full_queue,1.0,300,60,sell_ask,22,11327,285,0.010427847346451951,-0.0029423076923076,0.18181818181818182,0.5063657407407407,0.0069285714285714,0.02,0.44604136604136674,0.45454545454545453
full_queue,1.0,300,60,strategy_tail_combined,44,22648,352,0.0042297561290398,-0.0032499999999998997,0.11363636363636363,0.4031746031746031,0.0068613445378151,0.0187499999999999,0.3695238095238109,0.29545454545454547
full_queue,1.0,300,300,buy_bid,22,11321,67,0.0016406163991825999,-0.0023,0.09090909090909091,0.2111111111111111,0.0075,0.01394999999999995,0.8793103448275895,0.13636363636363635
full_queue,1.0,300,300,sell_ask,22,11327,285,0.010427847346451951,-0.00457230769230765,0.09090909090909091,0.39814814814814814,0.0087727272727272,0.016499999999999952,0.5844155844155844,0.4090909090909091
full_queue,1.0,300,300,strategy_tail_combined,44,22648,352,0.0042297561290398,-0.0032300000000000002,0.09090909090909091,0.37444444444444447,0.0081363636363636,0.0154166666666666,0.6331913987651692,0.2727272727272727
full_queue,1.0,300,900,buy_bid,22,11321,67,0.0016406163991825999,-0.0025,0.09090909090909091,0.1666666666666666,0.019312499999999948,0.0155999999999999,1.1386326860841414,0.045454545454545456
full_queue,1.0,300,900,sell_ask,22,11327,285,0.010427847346451951,-0.0025599999999999503,0.13636363636363635,0.4068287037037037,0.0158060897435897,0.018265624999999952,0.7703754578754582,0.3181818181818182
full_queue,1.0,300,900,strategy_tail_combined,44,22648,352,0.0042297561290398,-0.0025,0.11363636363636363,0.40625,0.0182916666666666,0.0155999999999999,0.8505759591285907,0.18181818181818182
